idx,price(GBP),weight,process,destination,roast,blend,arabica_robusta,origin,weight(g),price_per_kg
194,8.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,33.6
195,11,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,44
196,6.6,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,26.4
197,12.8,250 g,"Washed, Barrel Aged",drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,250,51.2
198,8.4,250 g,Washed,drip (alternative brewing methods),medium,beans,100% Arabica,Salwador,250,33.6
199,15.8,500 g,Natural,drip (alternative brewing methods),medium,beans,100% Arabica,Sumatra,500,31.6
200,8.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,33.6
201,9.75,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,39
202,10,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,40
203,11.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,47.2
204,1.2,10g,,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,10,120
205,7.2,7 x 10g,,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,70,102.86
206,1.2,10g,,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,10,120
207,7.2,7 x 10g,,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,70,102.86
208,1.2,10g,,drip (alternative brewing methods),light,ground,100% Arabica,Kolumbia,10,120
209,7.2,7 x 10g,,drip (alternative brewing methods),light,ground,100% Arabica,Kolumbia,70,102.86
210,5.76,7 x 10g,,drip (alternative brewing methods),light,ground,100% Arabica,Kolumbia,70,82.29
211,13.2,252 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,252,52.38
212,13,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,250,52
213,12.4,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,250,49.6
214,13.2,250 g,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,250,52.8
215,11.52,8 x 11g,Natural,drip (alternative brewing methods),light,ground,100% Arabica,Etiopia,88,130.91
216,15,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,60
217,15,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,250,60
218,14.4,125 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Panama,125,115.2
219,21.8,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,87.2
220,14.4,100 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,100,144
221,11.6,250 g,Semi-Carbonic Maceration,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,46.4
222,9.4,250 g,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,250,37.6
223,11.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,250,46.4
224,9.2,250 g,Monsooning,drip (alternative brewing methods),medium,beans,100% Arabica,Indie,250,36.8
225,10.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,43.2
226,10.6,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,250,42.4
227,23,2 x 200g,,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,400,57.5
228,15,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,60
229,13.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,250,52.8
230,13.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,55.2
231,15.8,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,250,63.2
232,10.2,250 g,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,250,40.8
