idx,process,brewing method,roast,grind,arabica_robusta,origin,price_per_kg
250,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,45.6
251,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,48
252,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Honduras,38.4
253,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,40
254,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,41.6
255,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,45.6
256,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,40
257,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Peru,35.2
258,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,33.28
259,Washed,drip (alternative brewing methods),light,beans,100% Arabica,"Papua Nowa Gwinea, Rwanda",28.8
260,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,45
261,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kolumbia,42
262,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Salwador,45
263,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,43
264,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Indonezja,31.5
265,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,39.2
266,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Chiny,47.2
267,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,49.6
268,Honey,drip (alternative brewing methods),light,beans,100% Arabica,Burundi,39.2
269,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,40.8
270,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,41.6
271,Anaerobic,drip (alternative brewing methods),light,beans,100% Arabica,Rwanda,40.8
272,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,40
273,Washed,drip (alternative brewing methods),light,beans,100% Robusta,Indie,27.2
274,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kostaryka,27.6
275,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Meksyk,27.6
276,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Nikaragua,36.8
277,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Brazylia,28.8
278,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,28
279,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Gwatemala,28
280,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Etiopia,47.2
281,Washed,drip (alternative brewing methods),light,beans,100% Arabica,Kenia,46.4
282,Natural,drip (alternative brewing methods),light,beans,100% Arabica,Peru,47.2
