idx,process,brewing method,roast,grind,origin,price_per_kg,arabica (%),Pure arabica,roast_brew
185,Hybrid,drip (alternative brewing methods),light,beans,Kolumbia,48.0,100,True,light_drip (alternative brewing methods)
186,Natural,drip (alternative brewing methods),light,beans,Rwanda,46.4,100,True,light_drip (alternative brewing methods)
187,Washed,drip (alternative brewing methods),light,beans,Etiopia,36.0,100,True,light_drip (alternative brewing methods)
188,Washed,drip (alternative brewing methods),light,beans,Gwatemala,36.0,100,True,light_drip (alternative brewing methods)
189,Washed,drip (alternative brewing methods),light,beans,Honduras,32.8,100,True,light_drip (alternative brewing methods)
190,Washed,drip (alternative brewing methods),light,beans,Kenia,39.2,100,True,light_drip (alternative brewing methods)
191,Honey,drip (alternative brewing methods),light,beans,Kostaryka,36.0,100,True,light_drip (alternative brewing methods)
192,Natural,drip (alternative brewing methods),light,beans,Nikaragua,36.0,100,True,light_drip (alternative brewing methods)
193,Washed,drip (alternative brewing methods),light,beans,Kolumbia,54.4,100,True,light_drip (alternative brewing methods)
194,Washed,drip (alternative brewing methods),light,beans,Etiopia,33.6,100,True,light_drip (alternative brewing methods)
195,Washed,drip (alternative brewing methods),light,beans,Gwatemala,44.0,100,True,light_drip (alternative brewing methods)
196,Natural,drip (alternative brewing methods),light,beans,Brazylia,26.4,100,True,light_drip (alternative brewing methods)
197,Aged,drip (alternative brewing methods),light,beans,Kolumbia,51.2,100,True,light_drip (alternative brewing methods)
198,Washed,drip (alternative brewing methods),medium,beans,Salwador,33.6,100,True,medium_drip (alternative brewing methods)
199,Natural,drip (alternative brewing methods),medium,beans,Sumatra,31.6,100,True,medium_drip (alternative brewing methods)
200,Washed,drip (alternative brewing methods),light,beans,Gwatemala,33.6,100,True,light_drip (alternative brewing methods)
201,Washed,drip (alternative brewing methods),light,beans,Kenia,39.0,100,True,light_drip (alternative brewing methods)
202,Washed,drip (alternative brewing methods),light,beans,Rwanda,40.0,100,True,light_drip (alternative brewing methods)
